epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.772,0.96858,2.4534,1.44831,0.42651,0.42895,0.42796,0.26653,1.2626,2.45184,1.89135,0.000138652,0.000138652,0.000138652
2,279.261,1.10206,2.1324,1.52746,0.48964,0.44789,0.45225,0.26046,1.45576,2.36888,2.13357,0.000272155,0.000272155,0.000272155
3,412.819,1.1428,2.17427,1.5633,0.55328,0.49021,0.51221,0.30463,1.30543,2.18876,1.95928,0.000400153,0.000400153,0.000400153
4,548.592,1.14684,2.12152,1.56158,0.59731,0.51955,0.58745,0.37016,1.20032,1.9279,1.84166,0.00039223,0.00039223,0.00039223
5,683.861,1.09894,1.97527,1.52984,0.64033,0.60922,0.6606,0.43472,1.15793,1.60734,1.7831,0.000383974,0.000383974,0.000383974
6,819.914,1.06866,1.87278,1.49558,0.65839,0.64032,0.71083,0.49057,1.06848,1.58844,1.69301,0.000375717,0.000375717,0.000375717
7,954.963,1.00746,1.75951,1.45035,0.6896,0.72444,0.756,0.52689,1.01549,1.27814,1.62633,0.00036746,0.00036746,0.00036746
8,1090.3,0.98459,1.6328,1.43344,0.64469,0.70457,0.7471,0.5071,1.0907,1.40598,1.65853,0.000359204,0.000359204,0.000359204
9,1223.03,0.95047,1.57906,1.41382,0.78443,0.67362,0.7397,0.52331,1.00889,1.24741,1.64473,0.000350947,0.000350947,0.000350947
10,1356.03,0.94271,1.53845,1.4116,0.80012,0.68058,0.78254,0.56232,0.98015,1.13384,1.58313,0.000342691,0.000342691,0.000342691
11,1491.6,0.92236,1.48539,1.38865,0.70952,0.74731,0.7831,0.5612,0.96738,1.16849,1.55165,0.000334434,0.000334434,0.000334434
12,1625.03,0.90985,1.35469,1.37629,0.84436,0.73577,0.8337,0.61551,0.93301,1.00895,1.53116,0.000326177,0.000326177,0.000326177
13,1760.88,0.87981,1.33297,1.35677,0.71156,0.78571,0.83922,0.62125,0.91257,0.9998,1.52293,0.000317921,0.000317921,0.000317921
14,1895.43,0.86184,1.28654,1.34995,0.77169,0.7363,0.79436,0.58427,0.95234,1.07961,1.52134,0.000309664,0.000309664,0.000309664
15,2028.72,0.85758,1.25671,1.34225,0.7943,0.77295,0.84848,0.6381,0.89833,0.94582,1.45706,0.000301408,0.000301408,0.000301408
16,2164.1,0.8345,1.22528,1.32102,0.81921,0.75362,0.84015,0.62444,0.9283,0.93426,1.52392,0.000293151,0.000293151,0.000293151
17,2296.27,0.82659,1.13173,1.32286,0.80223,0.77644,0.83255,0.6418,0.85826,0.92586,1.43122,0.000284894,0.000284894,0.000284894
18,2435.28,0.80436,1.11602,1.29687,0.76648,0.77057,0.81021,0.61724,0.88047,0.98139,1.45778,0.000276638,0.000276638,0.000276638
19,2568.18,0.81131,1.12752,1.30601,0.75297,0.78723,0.84093,0.6432,0.86401,0.94857,1.4207,0.000268381,0.000268381,0.000268381
20,2704.04,0.79565,1.05964,1.29196,0.83446,0.77894,0.85972,0.66743,0.82621,0.85424,1.39827,0.000260125,0.000260125,0.000260125
21,2840.61,0.77914,1.02918,1.2804,0.81759,0.76677,0.84509,0.65588,0.84512,0.86989,1.45435,0.000251868,0.000251868,0.000251868
22,2973.47,0.78193,1.00772,1.28526,0.81234,0.81156,0.8577,0.65501,0.86883,0.84239,1.45279,0.000243611,0.000243611,0.000243611
23,3106.61,0.7595,0.96922,1.25914,0.86065,0.81628,0.87775,0.67149,0.85475,0.80568,1.40679,0.000235355,0.000235355,0.000235355
24,3243.14,0.75019,0.94817,1.25751,0.84212,0.79173,0.85693,0.669,0.83229,0.8102,1.40587,0.000227098,0.000227098,0.000227098
25,3376.19,0.74726,0.93532,1.25207,0.85548,0.77596,0.86048,0.68078,0.81252,0.7794,1.36845,0.000218842,0.000218842,0.000218842
26,3512.16,0.73886,0.90589,1.24683,0.8131,0.8,0.86604,0.68754,0.79182,0.8126,1.36537,0.000210585,0.000210585,0.000210585
27,3648.63,0.72862,0.89503,1.23854,0.83336,0.82478,0.88032,0.70676,0.76687,0.77417,1.34008,0.000202328,0.000202328,0.000202328
28,3783.92,0.7078,0.85082,1.22508,0.85143,0.836,0.89581,0.71244,0.77141,0.69604,1.33904,0.000194072,0.000194072,0.000194072
29,3919.89,0.69615,0.82586,1.21511,0.86493,0.84788,0.90457,0.73287,0.75186,0.6471,1.31662,0.000185815,0.000185815,0.000185815
30,4055.33,0.70327,0.82651,1.22058,0.88419,0.83529,0.90341,0.72437,0.77374,0.64148,1.34204,0.000177559,0.000177559,0.000177559
31,4188.91,0.68789,0.79329,1.20704,0.86847,0.869,0.89915,0.72139,0.76001,0.64106,1.33724,0.000169302,0.000169302,0.000169302
32,4320.54,0.67507,0.76668,1.19862,0.87508,0.83221,0.89143,0.72389,0.75021,0.65993,1.32237,0.000161045,0.000161045,0.000161045
33,4453.26,0.67346,0.75547,1.19753,0.88058,0.84346,0.89385,0.72091,0.75522,0.66133,1.34116,0.000152789,0.000152789,0.000152789
34,4586.62,0.66987,0.75633,1.1919,0.86966,0.80223,0.87626,0.71471,0.74118,0.71773,1.29813,0.000144532,0.000144532,0.000144532
35,4719.38,0.66251,0.71839,1.19096,0.91723,0.83065,0.91246,0.74675,0.73415,0.60955,1.30176,0.000136276,0.000136276,0.000136276
36,4854.52,0.64235,0.70252,1.1794,0.9108,0.85306,0.91696,0.75751,0.71577,0.58077,1.28295,0.000128019,0.000128019,0.000128019
