epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.60089,1.24847,3.56627,1.71139,0.56771,0.85,0.88394,0.63748,1.65682,1.06135,1.37979,0,0,0
2,12.6014,1.05162,2.77644,1.41973,0.5566,0.85,0.89317,0.62252,1.67053,1.05275,1.38248,1.17822e-06,1.17822e-06,1.17822e-06
3,17.6646,1.43501,4.33891,1.59297,0.54975,0.85,0.85649,0.61834,1.68498,1.05465,1.38933,2.33288e-06,2.33288e-06,2.33288e-06
4,24.7038,1.23796,2.43479,1.38016,0.54052,0.85,0.85628,0.63861,1.64895,1.04706,1.3581,3.46397e-06,3.46397e-06,3.46397e-06
5,30.1121,1.37459,2.86349,1.60188,0.53782,0.85,0.85768,0.63906,1.66292,1.04459,1.36456,4.5715e-06,4.5715e-06,4.5715e-06
6,35.4536,0.90152,2.09252,1.31825,0.53855,0.85,0.85842,0.63831,1.67041,1.03988,1.36706,5.65548e-06,5.65548e-06,5.65548e-06
7,43.119,1.5463,3.16327,1.66025,0.54389,0.85954,0.85792,0.63022,1.66896,1.04997,1.36878,6.71588e-06,6.71588e-06,6.71588e-06
8,48.9974,1.14927,2.67923,1.51951,0.55697,0.86667,0.86022,0.63263,1.67671,1.05947,1.37104,7.75273e-06,7.75273e-06,7.75273e-06
9,55.3022,1.1933,3.359,1.59101,0.52475,0.86667,0.89796,0.63515,1.6638,1.05332,1.3598,8.76602e-06,8.76602e-06,8.76602e-06
10,61.2226,0.95924,2.25924,1.28192,0.53164,0.86667,0.89658,0.63316,1.67194,1.05573,1.3613,9.75574e-06,9.75574e-06,9.75574e-06
11,66.3834,1.2551,3.08766,1.57626,0.78747,0.65,0.89639,0.63488,1.68449,1.06725,1.3675,1.07219e-05,1.07219e-05,1.07219e-05
12,73.0191,1.20362,3.37028,1.64081,0.62123,0.7779,0.91155,0.64874,1.63913,1.09692,1.34595,1.16645e-05,1.16645e-05,1.16645e-05
13,78.0154,1.01345,2.74794,1.38906,0.80222,0.65144,0.91168,0.64885,1.63456,1.1056,1.34389,1.25835e-05,1.25835e-05,1.25835e-05
14,83.4401,0.96669,1.59706,1.4119,0.71102,0.74294,0.91264,0.63273,1.64072,1.10953,1.34677,1.3479e-05,1.3479e-05,1.3479e-05
15,90.4317,1.33778,2.06183,1.51837,0.65104,0.77873,0.91266,0.62831,1.63635,1.09678,1.34365,1.43509e-05,1.43509e-05,1.43509e-05
16,95.488,1.28534,1.7669,1.49565,0.6533,0.77763,0.91109,0.62757,1.64345,1.10059,1.34804,1.51993e-05,1.51993e-05,1.51993e-05
17,102.37,0.96922,1.82399,1.36392,0.65479,0.77745,0.91133,0.62782,1.66209,1.10839,1.35685,1.60241e-05,1.60241e-05,1.60241e-05
18,107.48,1.12744,2.84714,1.51478,0.65479,0.77745,0.91133,0.62782,1.66209,1.10839,1.35685,1.68253e-05,1.68253e-05,1.68253e-05
19,112.537,1.10819,2.50829,1.53771,0.82728,0.65,0.91204,0.6243,1.65967,1.13899,1.36102,1.7603e-05,1.7603e-05,1.7603e-05
20,119.025,0.91243,1.62177,1.26612,0.82728,0.65,0.91204,0.6243,1.65967,1.13899,1.36102,1.83571e-05,1.83571e-05,1.83571e-05
21,124.042,1.28919,2.52939,1.69382,0.8233,0.65,0.91183,0.61161,1.66445,1.15869,1.36947,1.90876e-05,1.90876e-05,1.90876e-05
22,129.148,0.99057,2.60945,1.28906,0.8233,0.65,0.91183,0.61161,1.66445,1.15869,1.36947,1.97946e-05,1.97946e-05,1.97946e-05
23,135.541,0.88915,1.54655,1.14069,0.80987,0.65,0.85834,0.6104,1.67243,1.17768,1.37373,2.0478e-05,2.0478e-05,2.0478e-05
24,140.328,0.94172,1.3844,1.28039,0.80987,0.65,0.85834,0.6104,1.67243,1.17768,1.37373,2.11379e-05,2.11379e-05,2.11379e-05
25,146.074,1.01461,1.61002,1.70727,0.79153,0.65,0.85867,0.60957,1.72579,1.19549,1.39563,2.17741e-05,2.17741e-05,2.17741e-05
26,151.777,0.91922,1.56512,1.14474,0.79153,0.65,0.85867,0.60957,1.72579,1.19549,1.39563,2.23869e-05,2.23869e-05,2.23869e-05
